gender,division,game_id,boxscore_id,date,status,start_time,home_team_full,home_team_short,home_team_score,home_record,home_conference,away_team_full,away_team_short,away_team_score,away_record,away_conference,home_shots,home_sot,away_shots,away_sot
men,d1,352802,6466028,09-01-2025,pre,12:00PM ET,Villanova University,Villanova,1,(1-0-1),Big East,Saint Joseph's University,Saint Joseph's,0,(1-0-1),Atlantic 10,16.0,3.0,9.0,3.0
men,d1,347745,6465192,09-01-2025,pre,01:00PM ET,Georgetown University,Georgetown,1,(0-1-0),Big East,University of Vermont,Vermont,1,(2-0-0),America East,10.0,6.0,5.0,2.0
men,d1,348065,6465303,09-01-2025,pre,01:00PM ET,Rider University,Rider,3,(0-1-0),MAAC,George Washington University,George Washington,0,(1-1-0),Atlantic 10,10.0,6.0,12.0,4.0
men,d1,348242,6465328,09-01-2025,pre,01:00PM ET,U.S. Naval Academy,Navy,2,(0-0-1),Patriot,Niagara University,Niagara,0,(1-0-0),MAAC,19.0,8.0,5.0,1.0
men,d1,351705,6465866,09-01-2025,pre,01:00PM ET,University of Kentucky,Kentucky,0,(2-0-0),Sun Belt,"University of California, Los Angeles",UCLA,0,(0-2-1),Big Ten,10.0,3.0,10.0,4.0
men,d1,345228,6464966,09-01-2025,pre,02:00PM ET,University of Michigan,Michigan,1,(1-0-1),Big Ten,Bowling Green State University,Bowling Green,0,(1-1-1),MVC,13.0,6.0,2.0,0.0
men,d1,352531,6465949,09-01-2025,pre,02:00PM ET,Western Michigan University,Western Mich.,2,(0-2-0),MVC,University of New Hampshire,New Hampshire,1,(0-2-1),America East,20.0,11.0,9.0,3.0
men,d1,353836,6466100,09-01-2025,pre,02:00PM ET,Michigan State University,Michigan St.,1,(1-1-0),Big Ten,University of Detroit Mercy,Detroit Mercy,0,(2-0-1),Horizon,20.0,4.0,2.0,1.0
men,d1,342339,6464548,09-01-2025,pre,04:00PM ET,Pennsylvania State University,Penn St.,1,(1-1-1),Big Ten,Missouri State University,Missouri St.,3,(1-1-0),American,11.0,3.0,10.0,3.0
men,d1,342748,6464591,09-01-2025,pre,04:00PM ET,Yale University,Yale,0,(0-0-0),Ivy League,Syracuse University,Syracuse,1,(1-1-1),ACC,1.0,1.0,28.0,9.0
men,d1,348467,6465376,09-01-2025,pre,04:00PM ET,Robert Morris University,Robert Morris,1,(0-0-2),Horizon,Mount St. Mary's University,Mount St. Mary's,0,(0-0-1),MAAC,21.0,13.0,10.0,3.0
men,d1,356012,6466409,09-01-2025,pre,04:00PM ET,"University of Massachusetts, Amherst",Massachusetts,4,(2-0-1),Summit League,Stonehill College,Stonehill,0,(1-2-0),NEC,19.0,8.0,4.0,2.0
men,d1,341303,6464337,09-01-2025,pre,05:00PM ET,"University of Maryland, Baltimore County",UMBC,1,(1-0-0),America East,Howard University,Howard,0,(0-2-0),NEC,22.0,9.0,4.0,2.0
men,d1,349490,6465605,09-01-2025,pre,06:00PM ET,College of Charleston (South Carolina),Col. of Charleston,2,(0-2-0),CAA,"University of North Carolina, Chapel Hill",North Carolina,0,(3-0-0),ACC,6.0,2.0,15.0,1.0
men,d1,354644,6466191,09-01-2025,pre,06:00PM ET,University of South Carolina Upstate,USC Upstate,1,(0-1-1),Big South,University of Alabama at Birmingham,UAB,3,(0-0-0),American,10.0,2.0,17.0,8.0
men,d1,339552,6463888,09-01-2025,pre,06:00PM ET,William & Mary,William & Mary,1,(0-0-0),CAA,"Rutgers, The State University of New Jersey, New Brunswick",Rutgers,4,(1-0-1),Big Ten,10.0,8.0,18.0,11.0
men,d1,337856,6463498,09-01-2025,pre,07:00PM ET,Butler University,Butler,0,(1-2-0),Big East,Indiana University Indianapolis,IU Indy,1,(0-0-2),Horizon,16.0,6.0,6.0,2.0
men,d1,338669,6463614,09-01-2025,pre,07:00PM ET,"University of Maryland, College Park",Maryland,6,(1-0-0),Big Ten,Saint Francis University,Saint Francis,0,(0-2-0),NEC,30.0,14.0,2.0,2.0
men,d1,339446,6463859,09-01-2025,pre,07:00PM ET,Creighton University,Creighton,0,(0-1-0),Big East,The University of Tulsa,Tulsa,0,(0-1-1),American,10.0,4.0,10.0,3.0
men,d1,343757,6464682,09-01-2025,pre,07:00PM ET,University of Rhode Island,Rhode Island,1,(0-1-1),Atlantic 10,Providence College,Providence,3,(0-2-0),Big East,9.0,3.0,20.0,9.0
men,d1,345014,6464940,09-01-2025,pre,07:00PM ET,University of Virginia,Virginia,1,(2-1-0),ACC,American University,American,0,(0-2-0),Patriot,22.0,11.0,5.0,1.0
men,d1,349122,6465529,09-01-2025,pre,07:00PM ET,Fairfield University,Fairfield,0,(2-0-0),MAAC,Brown University,Brown,1,(0-0-0),Ivy League,6.0,1.0,10.0,4.0
men,d1,349785,6465633,09-01-2025,pre,07:00PM ET,University of Akron,Akron,1,(2-0-0),Big East,Cleveland State University,Cleveland St.,0,(0-1-1),Horizon,15.0,4.0,2.0,0.0
men,d1,339057,6463749,09-01-2025,pre,07:30PM ET,Northwestern University,Northwestern,2,(2-0-0),Big Ten,University of Illinois Chicago,UIC,3,(1-0-0),MVC,9.0,3.0,15.0,7.0
men,d1,345629,6465047,09-01-2025,pre,08:00PM ET,San Diego State University,San Diego St.,1,(2-1-0),WAC,University of San Diego,San Diego,2,(1-1-1),WCC,6.0,2.0,12.0,4.0
men,d1,345758,6465073,09-01-2025,pre,08:00PM ET,University of Wisconsin-Madison,Wisconsin,0,(1-1-0),Big Ten,University of Portland,Portland,1,(1-0-0),WCC,6.0,2.0,13.0,6.0
men,d1,342021,6464490,09-01-2025,pre,08:30PM ET,University of Missouri-Kansas City,Kansas City,2,(1-0-1),Summit League,Northern Illinois University,NIU,1,(2-0-1),MVC,9.0,4.0,18.0,6.0
men,d1,352603,6466004,09-01-2025,pre,10:00PM ET,University of San Francisco,San Francisco,1,(2-1-0),WCC,"California State University, Bakersfield",CSU Bakersfield,0,(0-2-0),Big West,17.0,5.0,6.0,1.0
men,d1,341973,6464479,09-01-2025,pre,10:15PM ET,"University of California, Riverside",UC Riverside,2,(0-2-0),Big West,U.S. Air Force Academy,Air Force,2,(0-3-0),WAC,19.0,4.0,8.0,4.0
men,d1,337430,6463318,09-02-2025,pre,01:00PM ET,Iona University,Iona,1,(0-0-2),MAAC,Monmouth University,Monmouth,2,(0-2-0),CAA,13.0,6.0,9.0,6.0
men,d1,340992,6464289,09-02-2025,pre,05:00PM ET,Dartmouth College,Dartmouth,0,(0-0-0),Ivy League,Bryant University,Bryant,1,(0-0-1),America East,5.0,3.0,3.0,2.0
men,d1,343475,6464644,09-02-2025,pre,05:00PM ET,Boston College,Boston College,1,(1-0-0),ACC,Northeastern University,Northeastern,0,(1-0-1),CAA,15.0,5.0,14.0,6.0
men,d1,346649,6465091,09-02-2025,pre,06:00PM ET,Stony Brook University,Stony Brook,3,(1-1-0),CAA,Quinnipiac University,Quinnipiac,0,(0-2-0),MAAC,23.0,10.0,9.0,1.0
men,d1,352585,6465993,09-02-2025,pre,06:00PM ET,Lehigh University,Lehigh,2,(0-0-1),Patriot,Old Dominion University,Old Dominion,2,(1-0-1),Sun Belt,7.0,4.0,11.0,6.0
men,d1,339343,6463828,09-02-2025,pre,07:00PM ET,Georgia Southern University,Ga. Southern,1,(2-0-1),Sun Belt,Stetson University,Stetson,0,(1-2-0),ASUN,15.0,7.0,6.0,1.0
men,d1,339613,6463961,09-02-2025,pre,07:00PM ET,"University of South Carolina, Columbia",South Carolina,3,(1-0-0),Sun Belt,Florida International University,FIU,2,(1-0-1),American,8.0,5.0,13.0,4.0
men,d1,341572,6464388,09-02-2025,pre,07:00PM ET,Radford University,Radford,0,(0-1-1),Big South,Elon University,Elon,2,(0-0-1),CAA,4.0,2.0,11.0,4.0
men,d1,344666,6464889,09-02-2025,pre,07:00PM ET,Fordham University,Fordham,1,(1-0-1),Atlantic 10,Lafayette College,Lafayette,0,(0-1-0),Patriot,15.0,2.0,10.0,0.0
men,d1,348469,6465378,09-02-2025,pre,07:00PM ET,George Mason University,George Mason,3,(1-1-0),Atlantic 10,Bucknell University,Bucknell,2,(2-0-0),Patriot,19.0,7.0,13.0,7.0
men,d1,352541,6465964,09-02-2025,pre,07:00PM ET,University of Delaware,Delaware,4,(2-0-0),Summit League,Loyola University Maryland,Loyola Maryland,0,(1-1-0),Patriot,11.0,5.0,10.0,4.0
men,d1,355799,6466300,09-02-2025,pre,07:00PM ET,Virginia Commonwealth University,VCU,1,(0-1-0),Atlantic 10,Campbell University,Campbell,1,(1-1-0),CAA,16.0,5.0,8.0,2.0
