Name,Team,Gender,Division,Matches Played,Minutes Played,Goals,Assists,Shots,Shots On Target,Yellow Cards,Red Cards,Saves,Goals Against,Fouls Won,Positions Seen,Dominant Position,Points
A Deshield-Tankard,Thomas (ME),men,d3,1,9,0,0,0,0,0,0,0,0,0,null,Unknown,0
A Miron,LIFE Pacific,men,d3,1,74,0,0,1,0,0,0,0,0,0,null,Unknown,0
A Ochoa,LIFE Pacific,men,d3,1,32,0,0,0,0,0,0,0,0,0,null,Unknown,0
A Schwind,LIFE Pacific,men,d3,1,57,0,0,0,0,0,0,0,0,0,null,Unknown,0
A.J. Cucinotta,Massachusetts,men,d1,1,10,0,0,0,0,0,0,0,0,0,D,Defender,0
A.J. Schuetz,Navy,men,d1,1,39,0,0,0,0,0,0,0,0,0,F,Forward,0
Aadne Aarstad,Elmira,men,d3,1,55,0,0,2,0,0,0,0,0,1,F,Forward,0
Aaron Babyak,Cairn,men,d3,1,90,0,0,0,0,0,0,0,0,1,null,Unknown,0
Aaron Cedillo,John Jay,men,d3,1,34,0,0,0,0,0,1,0,0,0,null,Unknown,0
Aaron Chapman,SUNY Morrisville,men,d3,1,45,1,1,2,1,1,0,0,0,1,F,Forward,3
Aaron Cohen,Plattsburgh St.,men,d3,1,45,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Aaron Deans,Va. Wesleyan,men,d3,1,62,0,0,0,0,1,0,0,0,1,D,Defender,0
Aaron Deskin,Arcadia,men,d3,1,15,0,0,0,0,1,0,0,0,0,F,Forward,0
Aaron Glikin,Salisbury,men,d3,1,22,0,0,0,0,0,0,0,0,1,null,Unknown,0
Aaron Gonzales,Centenary (LA),men,d3,1,90,0,0,0,0,0,0,0,0,0,d,Defender,0
Aaron Juarez,Penn St.-Scranton,men,d3,1,38,0,0,0,0,0,0,0,0,1,null,Unknown,0
Aaron Ketchmark,Manchester,men,d3,1,90,0,0,0,0,0,0,6,0,1,GK,Goalkeeper,0
Aaron Lambert,Wis. Lutheran,men,d3,2,180,0,0,0,0,0,0,7,3,0,GK,Goalkeeper,0
Aaron Lamy-Ramsden,Penn St.-Altoona,men,d3,1,72,0,0,0,0,1,0,0,0,0,null,Unknown,0
Aaron Mccrory,Huntingdon,men,d3,1,84,0,0,0,0,0,0,0,0,0,D,Defender,0
Aaron Muncaster,Salve Regina,men,d3,1,71,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Aaron O'Malley,Massachusetts,men,d1,1,30,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Aaron O'Reilly,Northwestern,men,d1,1,71,0,1,2,0,1,0,0,0,0,F,Forward,1
Aaron Osborne,Delaware Valley,men,d3,2,89,1,0,1,1,0,0,0,0,2,"F, f",Forward,2
Aaron Park,Haverford,men,d3,1,63,0,0,2,1,0,0,0,0,0,null,Unknown,0
Aaron Pondeca,Mercer,men,d1,1,32,0,0,1,0,0,0,0,0,0,F,Forward,0
Aaron Priester,Lakeland,men,d3,1,35,0,0,0,0,0,0,0,0,0,D,Defender,0
Aaron Salisbury,Alfred St.,men,d3,1,14,0,0,0,0,0,0,0,0,1,M,Midfielder,0
Aaron Smith,Mt. St. Joseph,men,d3,1,14,0,0,0,0,0,0,0,0,0,GK,Goalkeeper,0
Aaron Vazquez,Wartburg,men,d3,1,4,0,0,0,0,0,0,0,0,1,null,Unknown,0
Aaron Yancey,Shenandoah,men,d3,1,12,0,0,0,0,0,0,0,0,0,D,Defender,0
Abdel Talabi,Bryant,men,d1,1,90,0,0,0,0,0,0,0,0,0,D,Defender,0
Abdellah Eddahbi,Framingham St.,men,d3,1,78,0,0,2,1,0,0,0,0,0,d,Defender,0
Abdiel Donato,Bluefield Univ.,men,d3,1,46,0,0,0,0,0,0,0,0,0,F,Forward,0
Abdiel Vargas,Old Westbury,men,d3,1,66,0,0,1,0,0,0,0,0,0,null,Unknown,0
Abdou So,Old Dominion,men,d1,1,62,0,0,0,0,0,0,0,0,1,M,Midfielder,0
Abdoul Cisse,Lehman,men,d3,1,22,0,0,1,1,0,0,0,0,0,M,Midfielder,0
Abdoul Dabre,SUNY Poly,men,d3,1,45,0,0,0,0,0,0,0,0,0,D,Defender,0
Abdoul Karim Pare,Saint Louis,men,d1,1,49,0,0,0,0,0,0,0,0,1,F,Forward,0
Abdul Kamara,George Mason,men,d1,1,38,0,0,1,1,0,0,0,0,0,null,Unknown,0
Abdul Salim,CCNY,men,d3,1,10,0,0,0,0,0,0,0,0,1,F,Forward,0
Abdullah Al Maghrabi,Hunter,men,d3,1,90,0,0,0,0,1,0,0,0,0,D,Defender,0
Abel Kennedy,Simpson,men,d3,2,24,0,0,0,0,0,0,0,0,0,D,Defender,0
