Name,Team,Gender,Division,Matches Played,Minutes Played,Goals,Assists,Shots,Shots On Target,Yellow Cards,Red Cards,Saves,Goals Against,Fouls Won,Positions Seen,Dominant Position,Points
Aaliyah Carter,Alabama St.,women,d1,2,138,0,0,0,0,1,0,0,0,0,D,Defender,0
Aaliyah Faddoul,Georgia St.,women,d1,1,84,0,0,6,1,0,0,0,0,0,F,Forward,0
Aaliyah Gray,Southern U.,women,d1,1,9,0,0,0,0,0,0,0,0,0,D,Defender,0
Aaliyah Kasper,Westminster (UT),women,d1,1,55,0,0,0,0,0,0,0,0,0,F,Forward,0
Aaliyah Mohammed,Ga. Southern,women,d1,2,17,0,0,0,0,0,0,0,0,1,F,Forward,0
Aaliyah Pitts,Georgetown,women,d1,1,90,0,0,0,0,1,0,0,0,0,D,Defender,0
Aaliyaiah Durden,UTSA,women,d1,2,120,1,0,3,2,0,0,0,0,1,"D, M",Defender,2
Aayla Burgo,Mount St. Mary's,women,d1,1,9,0,0,0,0,0,0,0,0,0,F,Forward,0
Abbey Burns,UAB,women,d1,2,157,0,0,4,2,0,0,0,0,0,M,Midfielder,0
Abbey Cook,Penn,women,d1,1,45,1,0,3,2,0,0,0,0,0,F,Forward,2
Abbey Dalton,Michigan St.,women,d1,2,44,0,0,0,0,0,0,0,0,3,"D, null",Defender,0
Abbey Finn,Providence,women,d1,1,36,0,0,0,0,0,0,0,0,0,D,Defender,0
Abbey Hayberg,ETSU,women,d1,2,61,0,0,1,1,0,0,0,0,2,M,Midfielder,0
Abbey Iler,Indiana,women,d1,1,4,0,0,0,0,0,0,0,0,0,D,Defender,0
Abbey Lodato,Detroit Mercy,women,d1,2,139,0,0,2,0,0,0,0,0,7,M,Midfielder,0
Abbey Macdonald,Murray St.,women,d1,2,48,0,0,1,1,0,0,0,0,0,M,Midfielder,0
Abbey Marak,Chattanooga,women,d1,2,175,0,0,0,0,0,0,0,0,3,null,Unknown,0
Abbey Merchant,UConn,women,d1,1,41,0,0,0,0,0,0,0,0,2,M,Midfielder,0
Abbey Olexa,West Virginia,women,d1,2,113,1,1,1,1,0,0,0,0,0,F,Forward,3
Abbey Pierson,UNCW,women,d1,2,119,0,0,0,0,1,0,0,0,0,"M, null",Midfielder,0
Abbey Simpson,Simon Fraser,women,d1,1,90,0,0,0,0,0,0,0,0,1,D,Defender,0
Abbey Stanton,Wisconsin,women,d1,1,23,0,0,1,1,0,0,0,0,0,null,Unknown,0
Abbey Thornton,Maine,women,d1,1,69,0,0,1,1,0,0,0,0,0,M,Midfielder,0
Abbi Armstrong,Central Ark.,women,d1,2,39,0,0,0,0,0,0,0,0,0,F,Forward,0
Abbi Maier,New Hampshire,women,d1,1,58,0,0,1,0,0,0,0,0,0,M,Midfielder,0
Abbie Bailey,UTRGV,women,d1,1,90,0,0,0,0,0,0,0,0,0,D,Defender,0
Abbie Mai,Seattle U,women,d1,1,15,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Abbie Smith,Emory & Henry,women,d1,1,74,0,0,1,1,0,0,0,0,0,M,Midfielder,0
Abbie Wise,Western Caro.,women,d1,2,173,0,1,2,1,1,0,0,0,1,D,Defender,1
Abby Arrowood,Bob Jones,women,d1,1,80,0,0,0,0,0,0,0,0,0,D,Defender,0
Abby Baldridge,Western Mich.,women,d1,1,76,0,0,0,0,0,0,0,0,0,D,Defender,0
Abby Batts,Tennessee,women,d1,1,30,0,0,1,1,0,0,0,0,0,F,Forward,0
Abby Beasley,New Hampshire,women,d1,1,90,0,0,0,0,0,0,0,0,0,D,Defender,0
Abby Breitschuh,Kent St.,women,d1,1,3,0,0,0,0,0,0,0,0,0,D,Defender,0
Abby Brinker,Elon,women,d1,1,14,0,0,0,0,0,0,0,0,1,D,Defender,0
Abby Bush,Northern Colo.,women,d1,1,19,0,0,1,0,0,0,0,0,0,M,Midfielder,0
